AS132636;SMTNET-AS-ID PT Sarana Mediatama Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS46047;POLSRI-AS-ID Politeknik Negeri Sriwijaya; 0.00 ; f:'0.00%'} ; 0.00
AS17995;SOLUSINET-AS-ID PT iForte Global Internet; 0.00 ; f:'0.00%'} ; 0.00
AS4855;PI-ID-AS-AP Pacific Link Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS55690;ANDIRA-AS-ID PT Andira Infomedia; 0.00 ; f:'0.00%'} ; 0.00
AS24195;DHECYBER-AS-ID Dhecyber Flow Indonesia ; PT; 0.00 ; f:'0.00%'}
AS46063;GRAHANET-AS-ID PT.Graha Telekomunikasi Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS58818;IDNIC-UMY-AS-ID Universitas Muhammadiyah Yogyakarta; 0.00 ; f:'0.00%'} ; 0.00
AS55654;IDNIC-ID Indonesia Network Information Center; 0.00 ; f:'0.00%'} ; 0.00
AS38510;DEPTAN-AS-ID KEMENTERIAN PERTANIAN REPUBLIK INDONESIA; 0.00 ; f:'0.00%'} ; 0.00
AS38153;UPH-AS-ID Universitas Pelita Harapan; 0.00 ; f:'0.00%'} ; 0.00
AS55684;UNS-AS-ID Universitas Sebelas Maret; 0.00 ; f:'0.00%'} ; 0.00
AS24213;ARSEN-AS-ID PT. Arsen Kusuma Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS55694;UCS-AS-ID Universitas Ciputra; 0.00 ; f:'0.00%'} ; 0.00
AS53813;ZSCALER-INC - ZSCALER ; INC.; 0.00 ; f:'0.00%'}
AS55653;SKYLINE-AS-ID Skyline Semesta ; PT; 0.00 ; f:'0.00%'}
AS131759;IDNIC-WDS-AS-ID PT. Web Data Solusindo; 0.00 ; f:'0.00%'} ; 0.00
AS38778;DWPNET-AS-ID PT. Dutakom Wibawa Putra; 0.00 ; f:'0.00%'} ; 0.00
AS58551;IDNIC-VISIKOM-AS-ID PT. Visikom Indo Sentratama; 0.00 ; f:'0.00%'} ; 0.00
